game_id,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,acs,role,day_of_week,month,days_since_start,days_since_last_match,total_rounds,win_rate,kill_assist_ratio,acs_per_round,damage_participation,combat_efficiency,outcome_numeric,acs_rolling_5,kdr_rolling_5,kills_rolling_5,assists_rolling_5,win_rate_rolling_5,acs_lag_1,kdr_lag_1,acs_rolling_std_5,kdr_rolling_std_5,agent_acs_mean,agent_acs_std,agent_kdr_mean,agent_kdr_std,agent_win_rate,map_acs_mean,map_acs_std,map_kdr_mean,map_kdr_std,role_acs_mean,role_acs_std,role_kdr_mean,role_kdr_std,agent_map_acs_mean,agent_map_count,agent_map_kdr_mean,agent_map_win_rate,agent_role_acs_mean,agent_role_kdr_mean,agent_encoded,map_encoded,role_encoded
1,2023-04-11,Cypher,Ascent,Loss,5,13,8,15,4,0.5333333333333333,125,Sentinel,1,4,0,0.0,18,0.2777777777777778,0.6666666666666666,6.944444444444445,0.42857142857142855,-7,0.0,125.0,0.5333333333333333,8.0,4.0,0.0,192.070987654321,1.2562373260722122,0.0,0.0,202.7001287001287,61.78833100126236,1.2345552157991344,0.927851179627866,0.5096574082343571,189.1818181818182,60.216715170488605,1.1696812120430755,0.8112642225419247,201.0742150333016,62.5077992179673,1.2133754749757464,0.8790057416199903,194.22222222222223,99,1.1070759779011023,0.5001984805339645,202.7001287001287,1.2345552157991344,3,1,3
2,2023-04-12,Cypher,Icebox,Loss,4,13,3,15,2,0.2,59,Sentinel,2,4,1,1.0,17,0.23529411764705882,0.29411764705882354,3.4705882352941178,0.23809523809523808,-12,0.0,92.0,0.3666666666666667,5.5,3.0,0.0,125.0,0.5333333333333333,46.66904755831214,0.23570226039551584,202.7001287001287,61.78833100126236,1.2345552157991344,0.927851179627866,0.5096574082343571,185.91764705882352,66.95915808566156,1.0788212392132444,0.6963155942102514,201.0742150333016,62.5077992179673,1.2133754749757464,0.8790057416199903,189.14814814814815,27,1.2120740548931124,0.49473257610381643,202.7001287001287,1.2345552157991344,3,6,3
3,2023-04-15,KAY/O,Lotus,Win,13,4,7,12,7,0.5833333333333334,132,Initiator,5,4,4,3.0,17,0.7647058823529411,0.8235294117647058,7.764705882352941,0.5185185185185185,-5,1.0,105.33333333333333,0.4388888888888889,6.0,4.333333333333333,0.3333333333333333,59.0,0.2,40.2781992315115,0.20838888148345613,138.6060606060606,80.91930370511855,1.617853541653851,3.6243750562924486,0.5330891890460351,198.79888268156424,73.77839425888004,1.2238776190428386,0.8152871387591311,149.16091954022988,83.70600178020891,1.8657634636002844,3.7094879825067095,133.33333333333334,6,0.9444444444444445,0.5972434428316781,138.6060606060606,1.617853541653851,5,7,2
4,2023-04-15,Brimstone,Ascent,Loss,9,13,18,12,10,1.5,230,Controller,5,4,4,0.0,22,0.4090909090909091,1.2727272727272727,10.454545454545455,0.6829268292682927,6,0.0,136.5,0.7041666666666666,9.0,5.75,0.25,132.0,0.5833333333333334,70.4769465853906,0.5571712616555298,151.1764705882353,86.36619378894741,1.3661553199729306,1.944076640192573,0.542096018918319,189.1818181818182,60.216715170488605,1.1696812120430755,0.8112642225419247,158.2962962962963,78.01808765347677,1.1646312154872078,1.3159647095348688,190.0,3,2.2666666666666666,0.3617604617604618,151.1764705882353,1.3661553199729306,2,1,0
5,2023-04-15,Cypher,Haven,Loss,1,13,6,14,3,0.4285714285714285,146,Sentinel,5,4,4,0.0,14,0.07142857142857142,0.6428571428571429,10.428571428571429,0.375,-8,0.0,138.4,0.6490476190476191,8.4,5.2,0.2,230.0,1.5,61.18251384178326,0.4980164737870278,202.7001287001287,61.78833100126236,1.2345552157991344,0.927851179627866,0.5096574082343571,197.5886524822695,64.27786454382321,1.0948666832073721,0.5579792122961902,201.0742150333016,62.5077992179673,1.2133754749757464,0.8790057416199903,196.55,60,1.0837339226677463,0.45640028254638226,202.7001287001287,1.2345552157991344,3,5,3
6,2023-04-15,KAY/O,Haven,Win,13,10,16,15,18,1.0666666666666669,234,Initiator,5,4,4,0.0,23,0.5652173913043478,1.4782608695652173,10.173913043478262,0.68,1,1.0,160.2,0.7557142857142858,10.0,8.0,0.4,146.0,0.4285714285714285,73.41117081207737,0.5234999084957048,138.6060606060606,80.91930370511855,1.617853541653851,3.6243750562924486,0.5330891890460351,197.5886524822695,64.27786454382321,1.0948666832073721,0.5579792122961902,149.16091954022988,83.70600178020891,1.8657634636002844,3.7094879825067095,134.0,2,1.0958333333333334,0.5326086956521738,138.6060606060606,1.617853541653851,5,5,2
7,2023-04-15,Cypher,Pearl,Loss,3,13,7,15,5,0.4666666666666667,145,Sentinel,5,4,4,0.0,16,0.1875,0.75,9.0625,0.42857142857142855,-8,0.0,177.4,0.809047619047619,10.8,8.6,0.4,234.0,1.0666666666666669,50.16771870436208,0.4627949203718591,202.7001287001287,61.78833100126236,1.2345552157991344,0.927851179627866,0.5096574082343571,178.7625,74.22481139472353,1.2159840566317928,0.9436817451186712,201.0742150333016,62.5077992179673,1.2133754749757464,0.8790057416199903,188.82926829268294,41,1.1488291552306502,0.5048512555892993,202.7001287001287,1.2345552157991344,3,8,3
8,2023-04-15,KAY/O,Icebox,Loss,4,13,8,15,4,0.5333333333333333,119,Initiator,5,4,4,0.0,17,0.23529411764705882,0.7058823529411765,7.0,0.42857142857142855,-7,0.0,174.8,0.7990476190476191,11.0,8.0,0.2,145.0,0.4666666666666667,53.345102868023424,0.4693846987971088,138.6060606060606,80.91930370511855,1.617853541653851,3.6243750562924486,0.5330891890460351,185.91764705882352,66.95915808566156,1.0788212392132444,0.6963155942102514,149.16091954022988,83.70600178020891,1.8657634636002844,3.7094879825067095,171.25,4,0.48859649122807014,0.4825414781297134,138.6060606060606,1.617853541653851,5,6,2
9,2023-04-16,Cypher,Pearl,Loss,10,13,14,17,4,0.8235294117647058,160,Sentinel,6,4,5,1.0,23,0.43478260869565216,0.782608695652174,6.956521739130435,0.5,-3,0.0,160.8,0.6637535014005602,10.2,6.8,0.2,119.0,0.5333333333333333,43.51666347504139,0.2734184559982007,202.7001287001287,61.78833100126236,1.2345552157991344,0.927851179627866,0.5096574082343571,178.7625,74.22481139472353,1.2159840566317928,0.9436817451186712,201.0742150333016,62.5077992179673,1.2133754749757464,0.8790057416199903,188.82926829268294,41,1.1488291552306502,0.5048512555892993,202.7001287001287,1.2345552157991344,3,8,3
10,2023-04-16,Phoenix,Fracture,Win,13,4,16,7,6,2.2857142857142856,284,Duelist,6,4,5,0.0,17,0.7647058823529411,1.2941176470588236,16.705882352941178,0.7333333333333333,9,1.0,188.4,1.0351820728291314,12.2,7.4,0.4,160.0,0.8235294117647058,68.42002630809199,0.739033299051166,141.2173913043478,83.52079573470373,1.446926737655638,1.5348277968384028,0.5123214814422742,189.7948717948718,66.55148558146719,1.2477772397946845,0.9979698430037856,141.2173913043478,83.52079573470373,1.446926737655638,1.5348277968384028,233.0,3,1.3193121693121694,0.4285130718954248,141.2173913043478,1.446926737655638,8,4,1
